Record ID,Email,Create Date,Lifecycle Stage,Became a Customer Date,Original Traffic Source,Original Traffic Source Drill-Down 1,Google ad click id
200286,lead200286@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000289AbVxYz
200287,lead200287@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000290AbVxYz
200288,lead200288@example.com,2025-12-02,Customer,2025-12-14,Paid Search,google / cpc,Cj0KCQ42x00000291AbVxYz
200289,lead200289@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000292AbVxYz
200290,lead200290@example.com,2025-12-02,Lead,,Email Marketing,hubspot / email,
200291,lead200291@example.com,2025-12-02,Lead,,Email Marketing,hubspot / email,
200292,lead200292@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000293AbVxYz
200293,lead200293@example.com,2025-12-02,Lead,,Direct Traffic,(direct) / (none),
200294,lead200294@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000294AbVxYz
200295,lead200295@example.com,2025-12-02,Lead,,Direct Traffic,(direct) / (none),
200296,lead200296@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000295AbVxYz
200297,lead200297@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000296AbVxYz
200298,lead200298@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000297AbVxYz
200299,lead200299@example.com,2025-12-02,Lead,,Direct Traffic,(direct) / (none),
200300,lead200300@example.com,2025-12-02,Lead,,Email Marketing,hubspot / email,
200301,lead200301@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000298AbVxYz
200302,lead200302@example.com,2025-12-02,Lead,,Social Media,instagram / social,
200303,lead200303@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000299AbVxYz
200304,lead200304@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000300AbVxYz
200305,lead200305@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000301AbVxYz
200306,lead200306@example.com,2025-12-02,Lead,,Organic Search,google / organic,
200307,lead200307@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000302AbVxYz
200308,lead200308@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000303AbVxYz
200309,lead200309@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000304AbVxYz
200310,lead200310@example.com,2025-12-02,Lead,,Organic Search,google / organic,
200311,lead200311@example.com,2025-12-02,Lead,,Organic Search,google / organic,
200312,lead200312@example.com,2025-12-02,Lead,,Direct Traffic,(direct) / (none),
200313,lead200313@example.com,2025-12-02,Lead,,Social Media,instagram / social,
200314,lead200314@example.com,2025-12-02,Customer,2025-12-08,Paid Search,google / cpc,Cj0KCQ42x00000305AbVxYz
200315,lead200315@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000306AbVxYz
200316,lead200316@example.com,2025-12-02,Customer,2025-12-03,Social Media,instagram / social,
200317,lead200317@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000307AbVxYz
200318,lead200318@example.com,2025-12-02,Lead,,Direct Traffic,(direct) / (none),
200319,lead200319@example.com,2025-12-02,Lead,,Direct Traffic,(direct) / (none),
200320,lead200320@example.com,2025-12-02,Lead,,Organic Search,google / organic,
200321,lead200321@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000308AbVxYz
200322,lead200322@example.com,2025-12-02,Lead,,Social Media,instagram / social,
200323,lead200323@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000309AbVxYz
200324,lead200324@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000310AbVxYz
200325,lead200325@example.com,2025-12-02,Lead,,Direct Traffic,(direct) / (none),
200326,lead200326@example.com,2025-12-02,Lead,,Social Media,instagram / social,
200327,lead200327@example.com,2025-12-02,Lead,,Organic Search,google / organic,
200328,lead200328@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000311AbVxYz
200329,lead200329@example.com,2025-12-02,Lead,,Email Marketing,hubspot / email,
200330,lead200330@example.com,2025-12-02,Lead,,Social Media,instagram / social,
200331,lead200331@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000312AbVxYz
200332,lead200332@example.com,2025-12-02,Lead,,Organic Search,google / organic,
200333,lead200333@example.com,2025-12-02,Lead,,Email Marketing,hubspot / email,
200334,lead200334@example.com,2025-12-02,Lead,,Social Media,instagram / social,
200335,lead200335@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000313AbVxYz
200336,lead200336@example.com,2025-12-02,Customer,2025-12-14,Organic Search,google / organic,
200337,lead200337@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000314AbVxYz
200338,lead200338@example.com,2025-12-02,Lead,,Organic Search,google / organic,
200339,lead200339@example.com,2025-12-02,Lead,,Email Marketing,hubspot / email,
200340,lead200340@example.com,2025-12-02,Lead,,Social Media,instagram / social,
200341,lead200341@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000315AbVxYz
200342,lead200342@example.com,2025-12-02,Lead,,Social Media,instagram / social,
200343,lead200343@example.com,2025-12-02,Lead,,Email Marketing,hubspot / email,
200344,lead200344@example.com,2025-12-02,Lead,,Email Marketing,hubspot / email,
200345,lead200345@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000316AbVxYz
200346,lead200346@example.com,2025-12-02,Lead,,Email Marketing,hubspot / email,
200347,lead200347@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000317AbVxYz
200348,lead200348@example.com,2025-12-02,Lead,,Email Marketing,hubspot / email,
200349,lead200349@example.com,2025-12-02,Lead,,Email Marketing,hubspot / email,
200350,lead200350@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000318AbVxYz
200351,lead200351@example.com,2025-12-02,Lead,,Social Media,instagram / social,
200352,lead200352@example.com,2025-12-02,Lead,,Direct Traffic,(direct) / (none),
200353,lead200353@example.com,2025-12-02,Lead,,Organic Search,google / organic,
200354,lead200354@example.com,2025-12-02,Lead,,Direct Traffic,(direct) / (none),
200355,lead200355@example.com,2025-12-02,Lead,,Direct Traffic,(direct) / (none),
200356,lead200356@example.com,2025-12-02,Customer,2025-12-12,Organic Search,google / organic,
200357,lead200357@example.com,2025-12-02,Lead,,Organic Search,google / organic,
200358,lead200358@example.com,2025-12-02,Customer,2025-12-06,Paid Search,google / cpc,Cj0KCQ42x00000319AbVxYz
200359,lead200359@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000320AbVxYz
200360,lead200360@example.com,2025-12-02,Lead,,Social Media,instagram / social,
200361,lead200361@example.com,2025-12-02,Lead,,Email Marketing,hubspot / email,
200362,lead200362@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000321AbVxYz
200363,lead200363@example.com,2025-12-02,Customer,2025-12-09,Paid Search,google / cpc,Cj0KCQ42x00000322AbVxYz
200364,lead200364@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000323AbVxYz
200365,lead200365@example.com,2025-12-02,Lead,,Organic Search,google / organic,
200542,lead200542@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000547AbVxYz
200543,lead200543@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000548AbVxYz
200544,lead200544@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000549AbVxYz
200545,lead200545@example.com,2025-12-03,Lead,,Social Media,instagram / social,
200546,lead200546@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000550AbVxYz
200547,lead200547@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000551AbVxYz
200548,lead200548@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200549,lead200549@example.com,2025-12-03,Lead,,Email Marketing,hubspot / email,
200550,lead200550@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000552AbVxYz
200551,lead200551@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200552,lead200552@example.com,2025-12-03,Customer,2025-12-11,Email Marketing,hubspot / email,
200553,lead200553@example.com,2025-12-03,Lead,,Direct Traffic,(direct) / (none),
200554,lead200554@example.com,2025-12-03,Lead,,Direct Traffic,(direct) / (none),
200555,lead200555@example.com,2025-12-03,Lead,,Direct Traffic,(direct) / (none),
200556,lead200556@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000553AbVxYz
200557,lead200557@example.com,2025-12-03,Lead,,Social Media,instagram / social,
200558,lead200558@example.com,2025-12-03,Lead,,Social Media,instagram / social,
200559,lead200559@example.com,2025-12-03,Lead,,Email Marketing,hubspot / email,
200560,lead200560@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200561,lead200561@example.com,2025-12-03,Lead,,Social Media,instagram / social,
200562,lead200562@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000554AbVxYz
200563,lead200563@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200564,lead200564@example.com,2025-12-03,Lead,,Email Marketing,hubspot / email,
200565,lead200565@example.com,2025-12-03,Lead,,Direct Traffic,(direct) / (none),
200566,lead200566@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000555AbVxYz
200567,lead200567@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000556AbVxYz
200568,lead200568@example.com,2025-12-03,Lead,,Email Marketing,hubspot / email,
200569,lead200569@example.com,2025-12-03,Lead,,Social Media,instagram / social,
200570,lead200570@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000557AbVxYz
200571,lead200571@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200572,lead200572@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000558AbVxYz
200573,lead200573@example.com,2025-12-03,Lead,,Direct Traffic,(direct) / (none),
200574,lead200574@example.com,2025-12-03,Lead,,Social Media,instagram / social,
200575,lead200575@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000559AbVxYz
200576,lead200576@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000560AbVxYz
200577,lead200577@example.com,2025-12-03,Lead,,Email Marketing,hubspot / email,
200578,lead200578@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000561AbVxYz
200579,lead200579@example.com,2025-12-03,Lead,,Email Marketing,hubspot / email,
200580,lead200580@example.com,2025-12-03,Lead,,Social Media,instagram / social,
200581,lead200581@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000562AbVxYz
200582,lead200582@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000563AbVxYz
200583,lead200583@example.com,2025-12-03,Lead,,Social Media,instagram / social,
200584,lead200584@example.com,2025-12-03,Customer,2025-12-07,Paid Search,google / cpc,Cj0KCQ42x00000564AbVxYz
200585,lead200585@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200586,lead200586@example.com,2025-12-03,Lead,,Email Marketing,hubspot / email,
200587,lead200587@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000565AbVxYz
200588,lead200588@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000566AbVxYz
200589,lead200589@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000567AbVxYz
200590,lead200590@example.com,2025-12-03,Lead,,Email Marketing,hubspot / email,
200591,lead200591@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200592,lead200592@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000568AbVxYz
200593,lead200593@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200594,lead200594@example.com,2025-12-03,Lead,,Email Marketing,hubspot / email,
200595,lead200595@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000569AbVxYz
200596,lead200596@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000570AbVxYz
200597,lead200597@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000571AbVxYz
200598,lead200598@example.com,2025-12-03,Lead,,Social Media,instagram / social,
200599,lead200599@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200600,lead200600@example.com,2025-12-03,Lead,,Direct Traffic,(direct) / (none),
200601,lead200601@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000572AbVxYz
200602,lead200602@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000573AbVxYz
200603,lead200603@example.com,2025-12-03,Lead,,Social Media,instagram / social,
200604,lead200604@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200605,lead200605@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000574AbVxYz
200606,lead200606@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200607,lead200607@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000575AbVxYz
200608,lead200608@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000576AbVxYz
200609,lead200609@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200610,lead200610@example.com,2025-12-03,Lead,,Email Marketing,hubspot / email,
200611,lead200611@example.com,2025-12-03,Lead,,Email Marketing,hubspot / email,
200612,lead200612@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000577AbVxYz
200613,lead200613@example.com,2025-12-03,Lead,,Direct Traffic,(direct) / (none),
200614,lead200614@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200615,lead200615@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000578AbVxYz
200616,lead200616@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000579AbVxYz
200617,lead200617@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200618,lead200618@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000580AbVxYz
200619,lead200619@example.com,2025-12-03,Lead,,Direct Traffic,(direct) / (none),
200620,lead200620@example.com,2025-12-03,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000581AbVxYz
200621,lead200621@example.com,2025-12-03,Lead,,Organic Search,google / organic,
200813,lead200813@example.com,2025-12-04,Lead,,Direct Traffic,(direct) / (none),
200814,lead200814@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000822AbVxYz
200815,lead200815@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000823AbVxYz
200816,lead200816@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000824AbVxYz
200817,lead200817@example.com,2025-12-04,Lead,,Organic Search,google / organic,
200818,lead200818@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000825AbVxYz
200819,lead200819@example.com,2025-12-04,Lead,,Social Media,instagram / social,
200820,lead200820@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000826AbVxYz
200821,lead200821@example.com,2025-12-04,Lead,,Organic Search,google / organic,
200822,lead200822@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000827AbVxYz
200823,lead200823@example.com,2025-12-04,Lead,,Direct Traffic,(direct) / (none),
200824,lead200824@example.com,2025-12-04,Lead,,Organic Search,google / organic,
200825,lead200825@example.com,2025-12-04,Lead,,Organic Search,google / organic,
200826,lead200826@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000828AbVxYz
200827,lead200827@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000829AbVxYz
200828,lead200828@example.com,2025-12-04,Lead,,Organic Search,google / organic,
200829,lead200829@example.com,2025-12-04,Lead,,Email Marketing,hubspot / email,
200830,lead200830@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000830AbVxYz
200831,lead200831@example.com,2025-12-04,Lead,,Social Media,instagram / social,
200832,lead200832@example.com,2025-12-04,Lead,,Organic Search,google / organic,
200833,lead200833@example.com,2025-12-04,Lead,,Social Media,instagram / social,
200834,lead200834@example.com,2025-12-04,Lead,,Organic Search,google / organic,
200835,lead200835@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000831AbVxYz
200836,lead200836@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000832AbVxYz
200837,lead200837@example.com,2025-12-04,Lead,,Social Media,instagram / social,
200838,lead200838@example.com,2025-12-04,Lead,,Direct Traffic,(direct) / (none),
200839,lead200839@example.com,2025-12-04,Lead,,Organic Search,google / organic,
200840,lead200840@example.com,2025-12-04,Lead,,Social Media,instagram / social,
200841,lead200841@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000833AbVxYz
200842,lead200842@example.com,2025-12-04,Lead,,Organic Search,google / organic,
200843,lead200843@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000834AbVxYz
200844,lead200844@example.com,2025-12-04,Lead,,Direct Traffic,(direct) / (none),
200845,lead200845@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000835AbVxYz
200846,lead200846@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000836AbVxYz
200847,lead200847@example.com,2025-12-04,Lead,,Organic Search,google / organic,
200848,lead200848@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000837AbVxYz
200849,lead200849@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000838AbVxYz
200850,lead200850@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000839AbVxYz
200851,lead200851@example.com,2025-12-04,Lead,,Email Marketing,hubspot / email,
200852,lead200852@example.com,2025-12-04,Lead,,Social Media,instagram / social,
200853,lead200853@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000840AbVxYz
200854,lead200854@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000841AbVxYz
200855,lead200855@example.com,2025-12-04,Lead,,Email Marketing,hubspot / email,
200856,lead200856@example.com,2025-12-04,Lead,,Social Media,instagram / social,
200857,lead200857@example.com,2025-12-04,Lead,,Organic Search,google / organic,
200858,lead200858@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000842AbVxYz
200859,lead200859@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000843AbVxYz
200860,lead200860@example.com,2025-12-04,Lead,,Social Media,instagram / social,
200861,lead200861@example.com,2025-12-04,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000844AbVxYz
200862,lead200862@example.com,2025-12-04,Lead,,Email Marketing,hubspot / email,
200863,lead200863@example.com,2025-12-04,Lead,,Organic Search,google / organic,
200864,lead200864@example.com,2025-12-04,Lead,,Social Media,instagram / social,
